#Created: 2025-04-01 16:58:01;
date;TS_735999102106390590.cons
2025-03-01 00:00;3,465
2025-03-01 01:00;7,98
2025-03-01 02:00;7,712
2025-03-01 03:00;7,913
2025-03-01 04:00;7,577
2025-03-01 05:00;7,931
2025-03-01 06:00;2,607
2025-03-01 07:00;2,874
2025-03-01 08:00;2,689
2025-03-01 09:00;2,923
2025-03-01 10:00;2,768
2025-03-01 11:00;2,904
2025-03-01 12:00;3,912
2025-03-01 13:00;4,557
2025-03-01 14:00;3,75
2025-03-01 15:00;2,142
2025-03-01 16:00;2,915
2025-03-01 17:00;3,591
2025-03-01 18:00;3,48
2025-03-01 19:00;3,071
2025-03-01 20:00;3,501
2025-03-01 21:00;3,558
2025-03-01 22:00;3,092
2025-03-01 23:00;3,398
2025-03-02 00:00;2,868
2025-03-02 01:00;2,66
2025-03-02 02:00;2,844
2025-03-02 03:00;2,243
2025-03-02 04:00;2,83
2025-03-02 05:00;2,579
2025-03-02 06:00;3,489
2025-03-02 07:00;3,402
2025-03-02 08:00;3,512
2025-03-02 09:00;3,584
2025-03-02 10:00;2,422
2025-03-02 11:00;2,825
2025-03-02 12:00;1,904
2025-03-02 13:00;3,471
2025-03-02 14:00;2,793
2025-03-02 15:00;2,982
2025-03-02 16:00;2,857
2025-03-02 17:00;2,282
2025-03-02 18:00;3,491
2025-03-02 19:00;3,398
2025-03-02 20:00;3,022
2025-03-02 21:00;3,205
2025-03-02 22:00;2,65
2025-03-02 23:00;2,716
2025-03-03 00:00;1,91
2025-03-03 01:00;2,446
2025-03-03 02:00;7,479
2025-03-03 03:00;7,126
2025-03-03 04:00;7,277
2025-03-03 05:00;5,304
2025-03-03 06:00;2,584
2025-03-03 07:00;2,797
2025-03-03 08:00;2,253
2025-03-03 09:00;2,332
2025-03-03 10:00;2,033
2025-03-03 11:00;1,783
2025-03-03 12:00;2,156
2025-03-03 13:00;2,167
2025-03-03 14:00;2,162
2025-03-03 15:00;1,888
2025-03-03 16:00;2,494
2025-03-03 17:00;1,762
2025-03-03 18:00;1,506
2025-03-03 19:00;2,607
2025-03-03 20:00;2,68
2025-03-03 21:00;2,765
2025-03-03 22:00;3,14
2025-03-03 23:00;2,4
2025-03-04 00:00;3,46
2025-03-04 01:00;2,706
2025-03-04 02:00;8,131
2025-03-04 03:00;7,217
2025-03-04 04:00;7,366
2025-03-04 05:00;2,894
2025-03-04 06:00;2,522
2025-03-04 07:00;2,409
2025-03-04 08:00;1,806
2025-03-04 09:00;1,951
2025-03-04 10:00;1,608
2025-03-04 11:00;2,025
2025-03-04 12:00;2,318
2025-03-04 13:00;1,592
2025-03-04 14:00;1,598
2025-03-04 15:00;1,152
2025-03-04 16:00;1,256
2025-03-04 17:00;1,481
2025-03-04 18:00;3,433
2025-03-04 19:00;3,775
2025-03-04 20:00;3,031
2025-03-04 21:00;2,256
2025-03-04 22:00;2,727
2025-03-04 23:00;2,018
